BAFU name;BAFU category;Ecoinvent name;Ecoinvent category
Occupation, agriculture, mosaic;('natural resource', 'land');Occupation, annual crop;
Occupation, annual crop, irrigated;('resources',);;('natural resource', 'land')
Occupation, annual crop, non-irrigated, diverse-intensive;('natural resource', 'land');Occupation, annual crop, non-irrigated;
Occupation, annual crop, non-irrigated, intensive;('resources',);;('natural resource', 'land')
Occupation, annual crop, organic;('natural resource', 'land');Occupation, annual crop, irrigated;
Occupation, dump site, benthos;('natural resource', 'land');Occupation, dump site;
Occupation, forest, extensive;('resources',);;('natural resource', 'land')
Occupation, forest, intensive, normal;('natural resource', 'land');Occupation, forest, intensive;
Occupation, forest, intensive, short-cycle;('natural resource', 'land');Occupation, forest, intensive;
Occupation, forest, unspecified;('resources',);Occupation, forest, unspecified;('natural resource', 'land')
Occupation, industrial area;('resources',);;('natural resource', 'land')
Occupation, industrial area;('natural resource', 'in ground');;('natural resource', 'land')
Occupation, industrial area, benthos;('natural resource', 'land');Occupation, industrial area;
Occupation, industrial area, built up;('natural resource', 'land');Occupation, industrial area;
Occupation, industrial area, built up;('resources',);Occupation, industrial area;('natural resource', 'land')
Occupation, industrial area, vegetation;('resources',);Occupation, industrial area;('natural resource', 'land')
Occupation, industrial area, vegetation;('natural resource', 'land');Occupation, industrial area;
Occupation, pasture, man made, organic;('natural resource', 'land');Occupation, pasture, man made;
Occupation, permanent crop, fruit, intensive;('natural resource', 'land');Occupation, permanent crop;
Occupation, sealed soil;('natural resource', 'land');Occupation, unspecified;
Occupation, traffic area;('resources',);Occupation, traffic area, road network;('natural resource', 'land')
Occupation, traffic area, rail network, CH;('natural resource', 'land');Occupation, traffic area, rail network;
Occupation, traffic area, rail/road embankment, CH;('natural resource', 'land');Occupation, traffic area, rail/road embankment;
Occupation, traffic area, road embankment;('natural resource', 'land');Occupation, traffic area, rail/road embankment;
Occupation, traffic area, road network;('resources',);;('natural resource', 'land')
Occupation, tropical rain forest;('natural resource', 'land');Occupation, unspecified;
Occupation, unspecified, used;('natural resource', 'land');Occupation, unspecified;
Occupation, urban;('resources',);Occupation, urban, discontinuously built;('natural resource', 'land')
Occupation, urban, discontinuously built;('resources',);;('natural resource', 'land')
Occupation, water bodies, artificial;('natural resource', 'land');Occupation, lake, artificial;
Occupation, water courses, artificial;('natural resource', 'land');Occupation, river, artificial;
Octene (mixture of isomers);('air',);Hydrocarbons, aliphatic, unsaturated;('air',)
Oils, biogenic;('soil', 'forestry');Oils, non-fossil;
Oils, biogenic;('soil', 'industrial');Oils, non-fossil;
Oils, biogenic;('soil', 'agricultural');Oils, non-fossil;
Oils, biogenic;('soil',);Oils, non-fossil;
Organic carbon, placed in landfill;('natural resource', 'in ground');Organic carbon, placed in landfill;('inventory indicator', 'waste')
Oxydemeton methyl;('soil', 'agricultural');Sulfometuron methyl;('soil', 'agricultural')
p-Cresol;('air',);Phenol;('air',)
P-cyanophenol;('soil', 'industrial');;
Palladium, Pd 2.0E-4%, Pt 4.8E-4%, Rh 2.4E-5%, Ni 3.7E-2%, Cu 5.2E-2% in ore;('natural resource', 'in ground');Palladium;('natural resource', 'in ground')
Palladium, Pd 7.3E-4%, Pt 2.5E-4%, Rh 2.0E-5%, Ni 2.3E+0%, Cu 3.2E+0% in ore;('natural resource', 'in ground');Palladium;('natural resource', 'in ground')
Particulates;('air',);Particulate Matter, > 2.5 um and < 10um;
Particulates, < 10 um;('air',);Particulate Matter, > 2.5 um and < 10um;
Particulates, < 10 um (stationary);('air',);Particulate Matter, > 2.5 um and < 10um;
Particulates, < 2.5 um;('air',);Particulate Matter, < 2.5 um;
Particulates, < 2.5 um;('air', 'lower stratosphere + upper troposphere');Particulate Matter, < 2.5 um;
Particulates, < 2.5 um;('air', 'low population density, long-term');Particulate Matter, < 2.5 um;
Particulates, < 2.5 um;('air', 'non-urban air or from high stacks');Particulate Matter, < 2.5 um;
Particulates, < 2.5 um;('air', 'urban air close to ground');Particulate Matter, < 2.5 um;
Particulates, > 10 um;('air', 'low population density, long-term');Particulate Matter, > 10 um;
Particulates, > 10 um;('air', 'urban air close to ground');Particulate Matter, > 10 um;
Particulates, > 10 um;('air', 'non-urban air or from high stacks');Particulate Matter, > 10 um;
Particulates, > 10 um;('air',);Particulate Matter, > 10 um;
Particulates, > 2.5 um, and < 10um;('air', 'non-urban air or from high stacks');Particulate Matter, > 2.5 um and < 10um;
Particulates, > 2.5 um, and < 10um;('air',);Particulate Matter, > 2.5 um and < 10um;
Particulates, > 2.5 um, and < 10um;('air', 'low population density, long-term');Particulate Matter, > 2.5 um and < 10um;
Particulates, > 2.5 um, and < 10um;('air', 'urban air close to ground');Particulate Matter, > 2.5 um and < 10um;
Particulates, unspecified;('air',);Particulate Matter, > 2.5 um and < 10um;
Peat;('natural resource', 'in ground');;('natural resource', 'biotic')
Pentane, 2-methyl-;('air', 'urban air close to ground');Isohexane;('air', 'urban air close to ground')
Pentane, perfluoro-;('air',);Perfluoropentane;
Perchlorate, ion;('water', 'surface water');Perchlorate;
Petrol;('water', 'surface water');Oils, unspecified;('water', 'surface water')
Phenol, 2-chloro-;('water',);2-Chlorophenol;('water',)
Phenol, 2-chloro-;('air',);2,4-Dichlorophenol;('air', 'low population density, long-term')
Phenol, 2,4-dichloro-;('air', 'urban air close to ground');2,4-Dichlorophenol;('air', 'urban air close to ground')
Phenol, 4-chloro-;('air',);2,4-Dichlorophenol;('air', 'low population density, long-term')
Phenol, pentachloro-;('water', 'surface water');Pentachlorophenol;('water', 'surface water')
Phosphate;('soil', 'industrial');Glyphosate;('soil', 'industrial')
Platinum;('resources',);;('natural resource', 'in ground')
Platinum;('natural resource', 'biotic');;('natural resource', 'in ground')
Platinum, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Ni 2.3E+0%, Cu 3.2E+0% in ore;('natural resource', 'in ground');Platinum;('natural resource', 'in ground')
Platinum, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Ni 3.7E-2%, Cu 5.2E-2% in ore;('natural resource', 'in ground');Platinum;('natural resource', 'in ground')
Potassium;('air', 'low population density, long-term');Potassium I;
Potassium;('water', 'surface water');Potassium I;
Potassium;('soil', 'agricultural');Potassium I;
Potassium;('soil',);Potassium I;
Potassium;('air', 'urban air close to ground');Potassium I;
Potassium;('water', 'ocean');Potassium I;
Potassium;('air', 'non-urban air or from high stacks');Potassium I;
Potassium;('water',);Potassium I;
Potassium;('water', 'ground-, long-term');Potassium I;
Potassium;('water', 'ground-');Potassium I;
Potassium;('air',);Potassium I;
Potassium;('soil', 'industrial');Potassium I;
Potassium chloride;('natural resource', 'in ground');Sodium chloride;('natural resource', 'in ground')
Propane, 1,1,1,3,3-pentafluoro-, HFC-245fa;('air',);Pentafluoroethane;('air',)
Propane, 1,2-dichloro-;('water', 'surface water');1,2-Dichloropropane;('water', 'surface water')
Propane, perfluorocyclo-;('air', 'urban air close to ground');Hexafluoroethane;('air', 'urban air close to ground')
Propylene glycol methyl ether acetate;('air',);NMVOC, non-methane volatile organic compounds;('air',)
Prothioconazol;('soil', 'agricultural');Prothioconazole;('soil', 'agricultural')
Pyraclostrobin (prop);('soil', 'agricultural');Pyraclostrobin;('soil', 'agricultural')
Quizalofop ethyl ester;('soil', 'agricultural');Quizalofop-ethyl;
Radioactive species, unspecified;('air', 'non-urban air or from high stacks');Aerosols, radioactive, unspecified;('air', 'non-urban air or from high stacks')
Radioactive species, unspecified;('air',);Aerosols, radioactive, unspecified;('air',)
Rhodium, Rh 2.0E-5%, Pt 2.5E-4%, Pd 7.3E-4%, Ni 2.3E+0%, Cu 3.2E+0% in ore;('natural resource', 'in ground');Rhodium;('natural resource', 'in ground')
Rhodium, Rh 2.4E-5%, Pt 4.8E-4%, Pd 2.0E-4%, Ni 3.7E-2%, Cu 5.2E-2% in ore;('natural resource', 'in ground');Rhodium;('natural resource', 'in ground')
Sand;('natural resource', 'in ground');Sand, unspecified;
Sand, resource correction;('natural resource', 'in ground');Sand, unspecified;
Selenium;('air', 'non-urban air or from high stacks');Selenium IV;
Selenium;('water',);Selenium IV;
Selenium;('water', 'ground-, long-term');Selenium IV;
Selenium;('air',);Selenium IV;
Selenium;('soil', 'industrial');Selenium IV;
Selenium;('air', 'lower stratosphere + upper troposphere');Selenium IV;
Selenium;('water', 'ground-');Selenium IV;
Selenium;('air', 'low population density, long-term');Selenium IV;
Selenium;('soil', 'agricultural');Selenium IV;
Selenium;('soil',);Selenium IV;
Selenium;('air', 'urban air close to ground');Selenium IV;
Selenium;('water', 'ocean');Selenium IV;
Selenium;('water', 'surface water');Selenium IV;
Shale;('resources',);;('natural resource', 'in ground')
Silver;('water', 'surface water');Silver I;
Silver;('soil', 'agricultural');Silver I;
Silver;('soil',);Silver I;
Silver;('air', 'urban air close to ground');Silver I;
Silver;('water', 'ocean');Silver I;
Silver;('water', 'ground-, long-term');Silver I;
Silver;('air', 'non-urban air or from high stacks');Silver I;
Silver;('air',);Silver I;
Silver;('water',);Silver I;
Silver;('water', 'ground-');Silver I;
Silver;('air', 'low population density, long-term');Silver I;
Silver, Ag 9.7E-4%, Au 9.7E-4%, Zn 0.63%, Cu 0.38%, Pb 0.014%, in ore;('natural resource', 'in ground');Silver;('natural resource', 'in ground')
Sodium;('water', 'ocean');Sodium I;('water', 'ocean')
Sodium;('water', 'surface water');Sodium I;('water', 'surface water')
Sodium;('water', 'ground-, long-term');Sodium I;
Sodium bromide;('natural resource', 'in ground');Sodium chloride;('natural resource', 'in ground')
Sodium bromide;('resources',);Sodium hydroxide;('water',)
Sodium carbonate;('air',);Ammonium carbonate;('air',)
Sodium chloride;('natural resource', 'in water');;('natural resource', 'in ground')
Sodium chloride;('air',);;
Sodium chloride;('water',);;
Sodium sulfate;('natural resource', 'in ground');;
Sodium tetrahydroborate;('air', 'urban air close to ground');Sodium tetrahydridoborate;('air', 'urban air close to ground')
Soil;('natural resource', 'in ground');;
Sulfate;('soil', 'industrial');;('soil',)
Sulfide;('soil', 'industrial');Sulfur;('soil', 'industrial')
Sulfur;('air',);;
Sulfur trioxide;('water', 'surface water');Sulfur trioxide;('water',)
Suspended solids, unspecified;('water', 'fossil well');Suspended solids, unspecified;('water',)
Tebupirimphos;('soil', 'agricultural');Tebupirimfos;('soil', 'agricultural')
Terbufos;('water', 'surface water');;
Terbufos;('air',);;
Thallium;('water', 'ground-');Thallium I;
Thallium;('water', 'surface water');Thallium I;
Thallium;('air', 'urban air close to ground');Thallium I;
Thallium;('air', 'non-urban air or from high stacks');Thallium I;
Thallium;('water',);Thallium I;
Thallium;('water', 'ground-, long-term');Thallium I;
Thallium;('air',);Thallium I;
Thiazole, 2-(thiocyanatemethylthio)benzo-;('soil', 'agricultural');Pesticides, unspecified;('soil', 'agricultural')
Tin;('water', 'ground-');Tin ion;
Tin;('air', 'low population density, long-term');Tin ion;
Tin;('soil', 'agricultural');Tin ion;
Tin;('soil',);Tin ion;
Tin;('water', 'ocean');Tin ion;
Tin;('water', 'surface water');Tin ion;
Tin;('air', 'non-urban air or from high stacks');Tin ion;
Tin;('air', 'urban air close to ground');Tin ion;
Tin;('water', 'ground-, long-term');Tin ion;
Tin;('air',);Tin ion;
Tin;('water',);Tin ion;
Tin (II);('water',);Tin ion;
Tin oxide;('air',);Tin ion;
Tin, resource correction;('natural resource', 'in ground');Tin;
Titanium;('water', 'ocean');Titanium ion;
Titanium;('water', 'ground-, long-term');Titanium ion;
Titanium;('air',);Titanium ion;
Titanium;('water',);Titanium ion;
Titanium;('water', 'ground-');Titanium ion;
Titanium;('air', 'low population density, long-term');Titanium ion;
Titanium;('soil', 'agricultural');Titanium ion;
Titanium;('water', 'surface water');Titanium ion;
Titanium;('air', 'non-urban air or from high stacks');Titanium ion;
Titanium;('soil',);Titanium ion;
Titanium;('air', 'urban air close to ground');Titanium ion;
TOC, Total Organic Carbon;('air',);Organic carbon;('air', 'urban air close to ground')
TOC, Total Organic Carbon;('soil',);Organic carbon;('soil',)
TOC, Total Organic Carbon;('air', 'urban air close to ground');Organic carbon;('air', 'urban air close to ground')
Toluene, 2-chloro-;('water', 'surface water');o-Chlorotoluene;('water', 'surface water')
Toluene, 2-chloro-;('air', 'urban air close to ground');o-Chlorotoluene;('air', 'urban air close to ground')
Transformation, from agriculture;('natural resource', 'land');Transformation, from annual crop;
Transformation, from agriculture, mosaic;('natural resource', 'land');Transformation, from annual crop;
Transformation, from annual crop, irrigated;('resources',);;('natural resource', 'land')
Transformation, from annual crop, non-irrigated, fallow;('natural resource', 'land');Transformation, from annual crop, non-irrigated;
Transformation, from annual crop, non-irrigated, intensive;('resources',);Transformation, from annual crop, non-irrigated;('natural resource', 'land')
Transformation, from arable, non-irrigated, diverse-intensive;('natural resource', 'land');Transformation, from arable land, unspecified use;
Transformation, from arable, organic;('natural resource', 'land');Transformation, from arable land, unspecified use;
Transformation, from forest, intensive, clear-cutting;('natural resource', 'land');Transformation, from forest, intensive;
Transformation, from forest, intensive, normal;('natural resource', 'land');Transformation, from forest, intensive;
Transformation, from forest, intensive, short-cycle;('natural resource', 'land');Transformation, from forest, intensive;
Transformation, from forest, natural;('natural resource', 'land');Transformation, from forest, unspecified;
Transformation, from forest, unspecified;('resources',);Transformation, from forest, unspecified;('natural resource', 'land')
Transformation, from industrial area, benthos;('natural resource', 'land');Transformation, from industrial area;
Transformation, from industrial area, built up;('natural resource', 'land');Transformation, from industrial area;
Transformation, from industrial area, vegetation;('natural resource', 'land');Transformation, from industrial area;
Transformation, from pasture and meadow;('natural resource', 'land');Transformation, from pasture, man made;
Transformation, from pasture and meadow, organic;('natural resource', 'land');Transformation, from pasture, man made;
Transformation, from permanent crop, fruit, extensive;('natural resource', 'land');Transformation, from permanent crop, irrigated, extensive;
Transformation, from sea and ocean;('natural resource', 'land');Transformation, from seabed, unspecified;
Transformation, from tropical rain forest;('natural resource', 'land');Transformation, from forest, extensive;
Transformation, from unknown;('resources',);;('natural resource', 'land')
Transformation, from unspecified, natural (non-use);('resources',);Transformation, from unspecified, natural (non-use);('natural resource', 'land')
Transformation, from unspecified, used;('resources',);Transformation, from unspecified;('natural resource', 'land')
Transformation, from unspecified, used;('natural resource', 'in ground');Transformation, from unspecified;('natural resource', 'land')
Transformation, to agriculture;('natural resource', 'land');Transformation, to annual crop;
Transformation, to annual crop, irrigated;('resources',);Transformation, to annual crop, irrigated;('natural resource', 'land')
Transformation, to annual crop, non-irrigated, intensive;('resources',);Transformation, to annual crop, non-irrigated, intensive;('natural resource', 'land')
Transformation, to arable, non-irrigated, diverse-intensive;('natural resource', 'land');Transformation, to annual crop, non-irrigated, intensive;
Transformation, to arable, non-irrigated, fallow;('natural resource', 'land');Transformation, to annual crop, non-irrigated;
Transformation, to arable, organic;('natural resource', 'land');Transformation, to annual crop;
Transformation, to dump site, benthos;('natural resource', 'land');Transformation, to dump site;
Transformation, to forest, intensive, clear-cutting;('natural resource', 'land');Transformation, to forest, intensive;
Transformation, to forest, intensive, normal;('natural resource', 'land');Transformation, to forest, intensive;
Transformation, to forest, intensive, short-cycle;('natural resource', 'land');Transformation, to forest, intensive;
Transformation, to industrial area;('resources',);Transformation, to industrial area;('natural resource', 'land')
Transformation, to industrial area;('natural resource', 'in ground');Transformation, to industrial area;('natural resource', 'land')
Transformation, to industrial area, benthos;('natural resource', 'land');Transformation, to industrial area;
Transformation, to industrial area, built up;('natural resource', 'land');Transformation, to industrial area;
Transformation, to industrial area, built up;('resources',);Transformation, to industrial area;('natural resource', 'land')
Transformation, to industrial area, vegetation;('resources',);Transformation, to industrial area;('natural resource', 'land')
Transformation, to industrial area, vegetation;('natural resource', 'land');Transformation, to industrial area;
Transformation, to pasture and meadow, organic;('natural resource', 'land');Transformation, to pasture, man made;
Transformation, to permanent crop, fruit, intensive;('natural resource', 'land');Transformation, to permanent crop;
Transformation, to sea and ocean;('natural resource', 'land');Transformation, to seabed, unspecified;
Transformation, to sealed soil;('natural resource', 'land');Transformation, to unspecified;
Transformation, to traffic area;('resources',);Transformation, to traffic area, road network;('natural resource', 'land')
Transformation, to traffic area, road embankment;('natural resource', 'land');Transformation, to traffic area, rail/road embankment;
Transformation, to traffic area, road network;('resources',);Transformation, to traffic area, rail network;('natural resource', 'land')
Transformation, to tropical rain forest;('natural resource', 'land');Transformation, to forest, extensive;
Transformation, to urban;('resources',);Transformation, to urban, continuously built;('natural resource', 'land')
Transformation, to urban, discontinuously built;('resources',);Transformation, to urban, discontinuously built;('natural resource', 'land')
Transformation, to water bodies, artificial;('natural resource', 'land');Transformation, to unspecified;
Transformation, to water courses, artificial;('natural resource', 'land');Transformation, to unspecified;
Tributylstannane;('water', 'surface water');Tributyltin compounds;('water', 'surface water')
Tributylstannane;('water',);Tributyltin compounds;('water', 'ground-, long-term')
Tributyltin oxide;('water', 'surface water');Tributyltin compounds;('water', 'surface water')
Trichloroethane;('air',);1,1,1-Trichloroethane;('air', 'non-urban air or from high stacks')
Trifluralin;('water', 'surface water');;('water',)
Trifluralin;('air',);Trifluralin;('air',)
Uranium;('water',);Uranium-234;
Uranium;('natural resource', 'land');;('natural resource', 'in ground')
Uranium;('resources',);;('natural resource', 'in ground')
Used air;('air',);;
Vanadium;('air', 'non-urban air or from high stacks');Vanadium V;
Vanadium;('water',);Vanadium V;
Vanadium;('water', 'ground-, long-term');Vanadium V;
Vanadium;('air',);Vanadium V;
Vanadium;('soil', 'industrial');Vanadium V;
Vanadium;('water', 'ground-');Vanadium V;
Vanadium;('air', 'low population density, long-term');Vanadium V;
Vanadium;('water', 'surface water');Vanadium V;
Vanadium;('soil', 'agricultural');Vanadium V;
Vanadium;('soil',);Vanadium V;
Vanadium;('air', 'urban air close to ground');Vanadium V;
Vanadium;('water', 'ocean');Vanadium V;
Vinyl acetate;('air',);Butyl acetate;('air', 'low population density, long-term')
Vinyl acetate;('water',);Butyl acetate;('water', 'ocean')
VOC, volatile organic compounds, unspecified origin;('water', 'surface water');VOC, volatile organic compounds;
VOC, volatile organic compounds, unspecified origin;('water', 'ocean');VOC, volatile organic compounds;
VOC, volatile organic compounds, unspecified origin;('air',);VOC, volatile organic compounds;
VOC, volatile organic compounds, unspecified origin;('water',);VOC, volatile organic compounds;
Waste mass, total, placed in landfill;('natural resource', 'in ground');;('inventory indicator', 'waste')
Waste water;('water', 'surface water');;
Waste water;('water', 'ocean');;
Waste water/m3;('water',);;
Water, AE;('water', 'surface water');Water;
Water, AO;('water', 'surface water');Water;
Water, AR;('water', 'surface water');Water;
Water, AT;('air',);Water;
Water, AT;('water',);Water;
Water, AU;('water',);Water;
Water, AU;('air',);Water;
Water, AU;('water', 'surface water');Water;
Water, AZ;('water', 'surface water');Water;
Water, AZ;('water', 'ocean');Water;
Water, BA;('air',);Water;
Water, BA;('water',);Water;
Water, BE;('air',);Water;
Water, BE;('water', 'surface water');Water;
Water, BE;('water',);Water;
Water, BO;('water', 'surface water');Water;
Water, BR;('water', 'surface water');Water;
Water, BR;('air',);Water;
Water, BR;('water',);Water;
Water, CA;('air',);Water;
Water, CA;('water',);Water;
Water, CA;('water', 'surface water');Water;
Water, CH;('air',);Water;
Water, CH;('water', 'surface water');Water;
Water, CH;('water',);Water;
Water, CL;('air',);Water;
Water, CL;('water',);Water;
Water, CM;('water',);Water;
Water, CN;('air',);Water;
Water, CN;('water',);Water;
Water, CN;('water', 'surface water');Water;
Water, CO;('water',);Water;
Water, CO;('water', 'surface water');Water;
Water, cooling, unspecified natural origin, CH;('natural resource', 'in water');Water, cooling, unspecified natural origin;
Water, cooling, unspecified natural origin, CN;('natural resource', 'in water');Water, cooling, unspecified natural origin;
Water, cooling, unspecified natural origin, DE;('natural resource', 'in water');Water, cooling, unspecified natural origin;
Water, cooling, unspecified natural origin, KR;('natural resource', 'in water');Water, cooling, unspecified natural origin;
Water, cooling, unspecified natural origin, RER;('natural resource', 'in water');Water, cooling, unspecified natural origin;
Water, cooling, unspecified natural origin, RER;('natural resource', 'in ground');Water, unspecified natural origin;('natural resource', 'in ground')
Water, cooling, unspecified natural origin, US;('natural resource', 'in water');Water, cooling, unspecified natural origin;
Water, cooling, unspecified natural origin/m3;('natural resource', 'in water');Water, cooling, unspecified natural origin;
Water, CS;('air',);Water;
Water, CZ;('air',);Water;
Water, CZ;('water',);Water;
Water, DE;('water', 'surface water');Water;
Water, DE;('air',);Water;
Water, DE;('water',);Water;
Water, DK;('air',);Water;
Water, DK;('water',);Water;
Water, DZ;('water', 'surface water');Water;
Water, EC;('water', 'surface water');Water;
Water, EG;('water', 'surface water');Water;
Water, embodied in product, CH;('economic', 'primary production factor');;
Water, embodied in product, ES;('economic', 'primary production factor');;
Water, embodied in product, KE;('economic', 'primary production factor');;
Water, embodied in product, MX;('economic', 'primary production factor');;
Water, embodied in product, PE;('economic', 'primary production factor');;
Water, ES;('water', 'surface water');Water;
Water, ES;('air',);Water;
Water, ES;('water',);Water;
Water, Europe;('air',);Water;
Water, FI;('water',);Water;
Water, FI;('air',);Water;
Water, fossil;('natural resource', 'in water');Water, unspecified natural origin;('natural resource', 'in water')
Water, FR;('water',);Water;
Water, FR;('air',);Water;
Water, FR;('water', 'surface water');Water;
Water, FR;('air', 'non-urban air or from high stacks');Water;
Water, GB;('air',);Water;
Water, GB;('water',);Water;
Water, GB;('water', 'ocean');Water;
Water, GB;('water', 'surface water');Water;
Water, GQ;('water', 'surface water');Water;
Water, GR;('air',);Water;
Water, GR;('water',);Water;
Water, HR;('water',);Water;
Water, HR;('air',);Water;
Water, HU;('water',);Water;
Water, HU;('air',);Water;
Water, ID;('water', 'surface water');Water;
Water, IE;('air',);Water;
Water, IE;('water',);Water;
Water, IL;('water',);Water;
Water, IL;('air',);Water;
Water, IN;('water',);Water;
Water, IN;('water', 'surface water');Water;
Water, IN;('air',);Water;
Water, IQ;('water', 'surface water');Water;
Water, IR;('water', 'surface water');Water;
Water, IS;('air',);Water;
Water, IT;('water', 'surface water');Water;
Water, IT;('water',);Water;
Water, IT;('air',);Water;
Water, JP;('air',);Water;
Water, JP;('water',);Water;
Water, JP;('water', 'surface water');Water;
Water, KE;('air',);Water;
Water, KR;('air',);Water;
Water, KR;('water', 'surface water');Water;
Water, KR;('water',);Water;
Water, KW;('water', 'surface water');Water;
Water, KZ;('water', 'ocean');Water;
Water, KZ;('water', 'surface water');Water;
Water, lake, RER;('natural resource', 'in water');Water, lake;('natural resource', 'in water')
Water, LU;('air',);Water;
Water, LU;('water',);Water;
Water, LY;('water', 'surface water');Water;
Water, MA;('water',);Water;
Water, MK;('air',);Water;
Water, MK;('water',);Water;
Water, MX;('water', 'ocean');Water;
Water, MX;('water', 'surface water');Water;
Water, MX;('air',);Water;
Water, MX;('water',);Water;
Water, MY;('water', 'surface water');Water;
Water, MY;('air',);Water;
Water, MY;('water',);Water;
Water, MZ;('air',);Water;
Water, NG;('water', 'surface water');Water;
Water, NL;('water', 'surface water');Water;
Water, NL;('air',);Water;
Water, NL;('water',);Water;
Water, NO;('water', 'ocean');Water;
Water, NO;('water', 'surface water');Water;
Water, NO;('air',);Water;
Water, NO;('water', 'fossil well');Water;
Water, NO;('water',);Water;
Water, NZ;('air',);Water;
Water, NZ;('water',);Water;
Water, OECD;('air',);Water;
Water, OM;('water', 'surface water');Water;
Water, PE;('air',);Water;
Water, PE;('water',);Water;
Water, PE;('water', 'surface water');Water;
Water, PL;('water', 'surface water');Water;
Water, PL;('air',);Water;
Water, PL;('water',);Water;
Water, process, surface;('natural resource', 'in water');Water, unspecified natural origin;
Water, process, unspecified natural origin/kg;('natural resource', 'land');Water, unspecified natural origin;('natural resource', 'in water')
Water, process, unspecified natural origin/kg;('natural resource', 'in ground');Water, unspecified natural origin;
Water, process, unspecified natural origin/kg;('resources',);Water, unspecified natural origin;('natural resource', 'in water')
Water, process, unspecified natural origin/m3;('natural resource', 'in water');Water, unspecified natural origin;
Water, process, unspecified natural origin/m3;('natural resource', 'land');Water, unspecified natural origin;('natural resource', 'in water')
Water, process, unspecified natural origin/m3;('resources',);Water, unspecified natural origin;('natural resource', 'in water')
Water, PT;('air',);Water;
Water, PT;('water',);Water;
Water, QA;('water', 'surface water');Water;
Water, RAF;('water', 'surface water');Water;
Water, RER;('water', 'surface water');Water;
Water, RER;('air',);Water;
Water, RER;('water',);Water;
Water, river, CH;('natural resource', 'in water');Water, river;
Water, river, KE;('natural resource', 'in water');Water, river;
Water, river, RER;('natural resource', 'in water');Water, river;
Water, RO;('water', 'surface water');Water;
Water, RS;('water',);Water;
Water, RU;('water',);Water;
Water, RU;('water', 'surface water');Water;
Water, SA;('water', 'surface water');Water;
Water, SA;('water', 'ocean');Water;
Water, SE;('air',);Water;
Water, SE;('water',);Water;
Water, SI;('air',);Water;
Water, SI;('water',);Water;
Water, SK;('air',);Water;
Water, SK;('water',);Water;
Water, TH;('air',);Water;
Water, TH;('water',);Water;
Water, TH;('water', 'surface water');Water;
Water, TM;('water', 'surface water');Water;
Water, TR;('air',);Water;
Water, TR;('water', 'surface water');Water;
Water, TR;('water',);Water;
Water, TT;('water', 'surface water');Water;
Water, TW;('water', 'surface water');Water;
Water, UA;('water', 'surface water');Water;
Water, UA;('water',);Water;
Water, unspecified natural origin, AE;('natural resource', 'in water');Water, unspecified natural origin;
Water, unspecified natural origin, AO;('natural resource', 'in water');Water, unspecified natural origin;
Water, unspecified natural origin, AR;('natural resource', 'in water');Water, unspecified natural origin;
Water, unspecified natural origin, AT;('natural resource', 'in water');Water, unspecified natural origin;
Water, unspecified natural origin, AU;('natural resource', 'in water');Water, unspecified natural origin;
Water, unspecified natural origin, AZ;('natural resource', 'in water');Water, unspecified natural origin;
Water, unspecified natural origin, BA;('natural resource', 'in water');Water, unspecified natural origin;
Water, unspecified natural origin, BE;('natural resource', 'in water');Water, unspecified natural origin;
Water, unspecified natural origin, BO;('natural resource', 'in water');Water, unspecified natural origin;
Water, unspecified natural origin, BR;('natural resource', 'in water');Water, unspecified natural origin;
Water, unspecified natural origin, CA;('natural resource', 'in water');Water, unspecified natural origin;
Water, unspecified natural origin, CH;('natural resource', 'in water');Water, unspecified natural origin;
Water, unspecified natural origin, CL;('natural resource', 'in water');Water, unspecified natural origin;
Water, unspecified natural origin, CM;('natural resource', 'in water');Water, unspecified natural origin;
Water, unspecified natural origin, CN;('natural resource', 'in water');Water, unspecified natural origin;
Water, unspecified natural origin, CO;('natural resource', 'in water');Water, unspecified natural origin;
Water, unspecified natural origin, CZ;('natural resource', 'in water');Water, unspecified natural origin;
Water, unspecified natural origin, DE;('natural resource', 'in water');Water, unspecified natural origin;
Water, unspecified natural origin, DK;('natural resource', 'in water');Water, unspecified natural origin;
Water, unspecified natural origin, DZ;('natural resource', 'in water');Water, unspecified natural origin;
Water, unspecified natural origin, EC;('natural resource', 'in water');Water, unspecified natural origin;
Water, unspecified natural origin, EG;('natural resource', 'in water');Water, unspecified natural origin;
Water, unspecified natural origin, ES;('natural resource', 'in water');Water, unspecified natural origin;
Water, unspecified natural origin, FI;('natural resource', 'in water');Water, unspecified natural origin;
Water, unspecified natural origin, FR;('natural resource', 'in water');Water, unspecified natural origin;
Water, unspecified natural origin, GB;('natural resource', 'in water');Water, unspecified natural origin;
Water, unspecified natural origin, GLO;('natural resource', 'in water');Water, unspecified natural origin;
Water, unspecified natural origin, GQ;('natural resource', 'in water');Water, unspecified natural origin;
Water, unspecified natural origin, GR;('natural resource', 'in water');Water, unspecified natural origin;
Water, unspecified natural origin, HR;('natural resource', 'in water');Water, unspecified natural origin;
Water, unspecified natural origin, HU;('natural resource', 'in water');Water, unspecified natural origin;
Water, unspecified natural origin, ID;('natural resource', 'in water');Water, unspecified natural origin;
Water, unspecified natural origin, IE;('natural resource', 'in water');Water, unspecified natural origin;
